Weapon,Skin,Rarity,Case,Price
MP5-SD,Kitbash,Restricted SMG,Fracture Case,0.42
MP5-SD,Agent,Restricted SMG,CS20 Case,0.65
MP5-SD,Gauss,Restricted SMG,Prisma Case,0.26
MP5-SD,Liquidation,Mil-Spec SMG,Revolution Case,0.09
MP5-SD,Necro Jr.,Mil-Spec SMG,Dreams & Nightmares Case,0.07
MP5-SD,Condition Zero,Mil-Spec SMG,Operation Broken Fang Case,0.52
MP5-SD,Desert Strike,Mil-Spec SMG,Prisma 2 Case,0.08
MP5-SD,Acid Wash,Mil-Spec SMG,Shattered Web Case,1.07
MP7,Bloodsport,Covert SMG,Clutch Case,1.39
MP7,Abyssal Apparition,Classified SMG,Dreams & Nightmares Case,1.49
MP7,Nemesis,Classified SMG,Falchion Case,5.57
MP7,Neon Ply,Restricted SMG,Shattered Web Case,1.9
MP7,Powercore,Restricted SMG,Horizon Case,0.8
MP7,Impire,Restricted SMG,Operation Wildfire Case,2.3
MP7,Special Delivery,Restricted SMG,Shadow Case,1.26
MP7,Ocean Foam,Restricted SMG,eSports 2014 Summer Case,1.34
MP7,Guerrilla,Mil-Spec SMG,Operation Riptide Case,0.37
MP7,Mischief,Mil-Spec SMG,Prisma Case,0.14
MP7,Akoben,Mil-Spec SMG,Spectrum Case,0.18
MP7,Cirrus,Mil-Spec SMG,Glove Case,0.1
MP7,Armor Core,Mil-Spec SMG,Chroma 2 Case,0.09
MP7,Urban Hazard,Mil-Spec SMG,Operation Breakout Weapon Case,0.08
MP7,Skulls,Mil-Spec SMG,CS:GO Weapon Case,19.98
MP9,Starlight Protector,Covert SMG,Dreams & Nightmares Case,3.83
MP9,Food Chain,Classified SMG,Snakebite Case,1.63
MP9,Hydra,Classified SMG,CS20 Case,5.26
MP9,Airlock,Classified SMG,Gamma 2 Case,1.79
MP9,Mount Fuji,Restricted SMG,Operation Riptide Case,2.73
MP9,Goo,Restricted SMG,Spectrum 2 Case,0.4
MP9,Ruby Poison Dart,Restricted SMG,Falchion Case,0.8
